,idx_2004,No_2004,Type_2004,State_2004,Winning Candidate_2004,Party_2004,Electors_2004,Votes_2004,Turnout_2004,Margin_2004,Margin %_2004,idx_2009,No_2009,Type_2009,State_2009,Winning Candidate_2009,Party_2009,Electors_2009,Votes_2009,Turnout_2009,Margin_2009,Margin %_2009,idx,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %,idx_2019,No_2019,Type_2019,State_2019,Winning Candidate_2019,Party_2019,Electors_2019,Votes_2019,Turnout_2019,Margin_2019,Margin %_2019,idx_2024,No_2024,Type_2024,State_2024,Winning Candidate_2024,Party_2024,Electors_2024,Votes_2024,Turnout_2024,Margin_2024,Margin %_2024
Arunachal West,33.0,1.0,GEN,Arunachal Pradesh,Kiren Rijiju,Bharatiya Janta Party,"3,94,428","2,20,618",55.9 %,"47,424",21.5%,38.0,1.0,GEN,Arunachal Pradesh,Takam Sanjoy,Indian National Congress,433368.0,285666.0,65.9 %,1314.0,0.5%,38.0,1.0,GEN,Arunachal Pradesh,Kiren Rijiju,Bharatiya Janta Party,446515.0,335665.0,75.2 %,41738.0,12.4%,38.0,1.0,GENP,Arunachal Pradesh,Kiren Rijiju,Bharatiya Janta Party,"4,58,680","3,58,310",78.5 %,"1,74,843",48.8%,38.0,1.0,GENP,Arunachal Pradesh,Kiren Rijiju,Bharatiya Janta Party,"5,17,384","3,99,804",77.3 %,"1,00,738",25.2%
Asansol,34.0,38.0,SC,West Bengal,Bikash Chowdhury,Communist Party Of India (MARXIST),"10,92,141","7,24,790",66.4 %,"1,24,318",17.2%,39.0,40.0,GEN,West Bengal,Bansa Gopal Chowdhury,Communist Party Of India (MARXIST),1250052.0,893860.0,71.5 %,72956.0,8.2%,39.0,40.0,GEN,West Bengal,Babul Supriya Baral (BABUL SUPRIYO),Bharatiya Janta Party,1469684.0,1142395.0,77.7 %,70480.0,6.2%,39.0,40.0,GEN,West Bengal,Babul Supriyo,Bharatiya Janta Party,"17,70,467","12,38,135",70.8 %,"1,97,637",16.0%,39.0,40.0,GEN,West Bengal,Shatrughan Prasad Sinha,All India Trinamool Congress,"17,70,281","13,01,540",73.5 %,"59,564",4.6%
Aska,35.0,10.0,GEN,Orissa,Hari Har Swain,Biju Janata Dal,"12,54,942","6,82,598",54.4 %,"1,32,602",19.4%,40.0,19.0,GEN,Orissa,Nityananda Pradhan,Biju Janata Dal,1286194.0,701795.0,54.6 %,232834.0,33.2%,40.0,19.0,GEN,Orissa,Ladu Kishore Swain,Biju Janata Dal,1408780.0,896281.0,63.6 %,311997.0,34.8%,40.0,19.0,GEN,Orissa,Pramila Bisoyi,Biju Janata Dal,"14,94,153","10,13,862",69.0 %,"2,04,707",20.2%,40.0,19.0,GEN,Orissa,Anita Subhadarshini,Bharatiya Janta Party,"16,20,974","10,17,914",62.8 %,"99,974",9.8%
Attingal,,,,,,,,,,,,41.0,19.0,GEN,Kerala,Adv. A Sampath,Communist Party Of India (MARXIST),1091432.0,725168.0,66.4 %,18341.0,2.5%,41.0,19.0,GEN,Kerala,Dr.A .Sampath,Communist Party Of India (MARXIST),1251398.0,859350.0,68.7 %,69378.0,8.1%,41.0,19.0,GEN,Kerala,Adv. Adoor Prakash,Indian National Congress,"13,13,675","10,04,888",76.9 %,"38,247",3.8%,41.0,19.0,GEN,Kerala,Adv Adoor Prakash,Indian National Congress,"13,96,807","9,85,341",70.5 %,684,0.1%
Autonomous District,38.0,3.0,ST,Assam,Biren Singh Engti,Indian National Congress,"5,79,284","4,01,612",69.3 %,"24,129",6.0%,44.0,3.0,ST,Assam,Biren Singh Engti,Indian National Congress,693407.0,480748.0,69.3 %,74548.0,15.5%,44.0,3.0,ST,Assam,Biren Singh Engti,Indian National Congress,701890.0,543280.0,77.4 %,24095.0,4.4%,44.0,3.0,ST,Assam,Horen Sing Bey,Bharatiya Janta Party,"7,61,744","6,17,735",82.2 %,"2,39,626",38.8%,,,,,,,,,,,
Azamgarh,39.0,41.0,SC,Uttar Pradesh [2000 Onwards],Ramakant Yadav,Bahujan Samaj Party,"14,25,023","7,11,356",49.9 %,"6,968",1.0%,45.0,69.0,GEN,Uttar Pradesh [2000 Onwards],Ramakant Yadav,Bharatiya Janta Party,1578854.0,705508.0,44.7 %,49039.0,7.0%,45.0,69.0,GEN,Uttar Pradesh [2000 Onwards],Mulayam Singh Yadav,Samajwadi Party,1703222.0,960218.0,56.4 %,63204.0,6.6%,45.0,69.0,GEN,Uttar Pradesh [2000 Onwards],Akhilesh Yadav,Samajwadi Party,"17,73,820","10,29,112",58.4 %,"2,59,874",25.3%,44.0,69.0,GEN,Uttar Pradesh [2000 Onwards],Dharmendra Yadav,Samajwadi Party,"18,68,165","10,54,520",56.5 %,"1,61,035",15.3%
Badagara,40.0,3.0,GEN,Kerala,P. Satheedevi,Communist Party Of India (MARXIST),"10,92,826","8,26,054",75.6 %,"1,30,589",15.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Badaun,,,,,,,,,,,,46.0,23.0,GEN,Uttar Pradesh [2000 Onwards],Dharmendra Yadav,Samajwadi Party,1405695.0,737438.0,52.5 %,32542.0,4.4%,46.0,23.0,GEN,Uttar Pradesh [2000 Onwards],Dharmendra Yadav,Samajwadi Party,1769145.0,1027594.0,58.1 %,166347.0,16.2%,46.0,23.0,GEN,Uttar Pradesh [2000 Onwards],Dr. Sanghmitra Maurya,Bharatiya Janta Party,"21,99,914","10,81,108",49.5 %,"18,454",1.7%,45.0,23.0,GEN,Uttar Pradesh [2000 Onwards],Aditya Yadav,Samajwadi Party,"20,08,758","10,91,764",54.4 %,"34,991",3.2%
Bagaha,41.0,1.0,GEN,Bihar [2000 Onwards],Kailash Baitha,Janata Dal (United),"11,60,275","5,70,814",49.2 %,"65,375",11.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bagalkot,42.0,27.0,GEN,Karnataka,Gaddigoudar Parvatagouda Chandanagouda,Bharatiya Janta Party,"13,24,829","8,66,238",65.4 %,"1,67,383",19.3%,47.0,3.0,GEN,Karnataka,Gaddigoudar Parvatagouda Chandanagouda,Bharatiya Janta Party,1363359.0,859976.0,63.1 %,35446.0,4.1%,47.0,3.0,GEN,Karnataka,Gaddigoudar Parvtagouda Chandanagouda,Bharatiya Janta Party,1568620.0,1079310.0,68.8 %,116560.0,10.8%,47.0,3.0,GEN,Karnataka,Gaddigoudar Parvatagouda Chandanagouda,Bharatiya Janta Party,"16,88,394","12,04,613",72.0 %,"1,68,187",14.0%,46.0,3.0,GEN,Karnataka,Gaddigoudar. Parvatagouda. Chandanagouda.,Bharatiya Janta Party,"18,06,183","13,17,561",73.0 %,"68,399",5.2%
Baghpat,43.0,77.0,GEN,Uttar Pradesh [2000 Onwards],Ajit Singh,Rashtriya Lok Dal,"15,70,374","6,56,864",41.8 %,"2,20,638",33.6%,48.0,11.0,GEN,Uttar Pradesh [2000 Onwards],Ajit Singh,Rashtriya Lok Dal,1280602.0,613758.0,47.9 %,63027.0,10.3%,48.0,11.0,GEN,Uttar Pradesh [2000 Onwards],Dr. Satya Pal Singh,Bharatiya Janta Party,1505175.0,1004263.0,66.7 %,209866.0,20.9%,48.0,11.0,GEN,Uttar Pradesh [2000 Onwards],Dr. Satyapal Singh,Bharatiya Janta Party,"15,58,020","10,44,894",67.4 %,"23,502",2.2%,47.0,11.0,GEN,Uttar Pradesh [2000 Onwards],Dr Rajkumar Sangwan,Rashtriya Lok Dal,"16,53,146","9,33,773",56.5 %,"1,59,459",17.1%
Balaghat,45.0,12.0,ST,Madhya Pradesh [2000 Onwards],Gauri Shankar Chaturbhuj Bisen,Bharatiya Janta Party,"10,00,341","6,08,869",60.9 %,"88,089",14.5%,51.0,15.0,GEN,Madhya Pradesh [2000 Onwards],K. D. Deshmukh,Bharatiya Janta Party,1339239.0,756832.0,56.5 %,40819.0,5.4%,51.0,15.0,GEN,Madhya Pradesh [2000 Onwards],Bodhsingh Bhagat,Bharatiya Janta Party,1629769.0,1113364.0,68.3 %,96041.0,8.6%,51.0,15.0,GEN,Madhya Pradesh [2000 Onwards],Dr Dhal Singh Bisen,Bharatiya Janta Party,"17,25,505","13,72,018",79.8 %,"2,42,066",17.6%,50.0,15.0,GEN,Madhya Pradesh [2000 Onwards],Bharti Pardhi,Bharatiya Janta Party,"18,73,653","13,82,280",73.8 %,"1,74,512",12.6%
Balasore,46.0,2.0,ST,Orissa,Mahamegha Bahan Aira Kharbela Swain,Bharatiya Janta Party,"13,30,406","9,48,450",71.3 %,"2,36,955",25.0%,52.0,6.0,GEN,Orissa,Srikant Kumar Jena,Indian National Congress,1269342.0,892345.0,70.3 %,38900.0,4.4%,52.0,6.0,GEN,Orissa,Rabindra Kumar Jena,Biju Janata Dal,1366218.0,1049450.0,76.8 %,141825.0,13.5%,52.0,6.0,GEN,Orissa,Pratap Chandra Sarangi,Bharatiya Janta Party,"14,71,650","11,57,871",79.2 %,"12,956",1.1%,51.0,6.0,GEN,Orissa,Pratap Chandra Sarangi,Bharatiya Janta Party,"16,08,014","12,39,635",77.1 %,"1,47,156",11.9%
Balia,47.0,19.0,GEN,Bihar [2000 Onwards],Suraj Singh,Lok Jan Shakti Party,"11,81,597","6,32,330",53.5 %,"76,227",12.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ballia,48.0,39.0,GEN,Uttar Pradesh [2000 Onwards],Chandra Shekhar,Samajwadi Janata Party (RASHTRIYA),"14,30,300","6,19,531",43.3 %,"81,054",13.1%,53.0,72.0,GEN,Uttar Pradesh [2000 Onwards],Neeraj Shekhar,Samajwadi Party,1679029.0,677426.0,40.4 %,72555.0,10.7%,53.0,72.0,GEN,Uttar Pradesh [2000 Onwards],Bharat Singh,Bharatiya Janta Party,1768271.0,942211.0,53.3 %,139434.0,14.8%,53.0,72.0,GEN,Uttar Pradesh [2000 Onwards],Virendra Singh,Bharatiya Janta Party,"17,92,821","9,89,732",55.7 %,"15,519",1.6%,52.0,72.0,GEN,Uttar Pradesh [2000 Onwards],Sanatan Pandey,Samajwadi Party,"19,23,645","10,07,322",52.4 %,"43,384",4.3%
Balrampur,49.0,28.0,GEN,Uttar Pradesh [2000 Onwards],Brij Bhushan Sharan Singh,Bharatiya Janta Party,"13,16,006","6,98,106",53.1 %,"52,613",7.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balurghat,50.0,6.0,GEN,West Bengal,Ranen Barman,Revolutionary Socialist Party,"11,29,369","9,20,808",81.5 %,"71,146",7.7%,54.0,6.0,GEN,West Bengal,Prasanta Kumar Majumdar,Revolutionary Socialist Party,1010224.0,876355.0,86.8 %,5105.0,0.6%,54.0,6.0,GEN,West Bengal,Arpita Ghosh,All India Trinamool Congress,1254497.0,1063053.0,84.7 %,106964.0,10.1%,54.0,6.0,GEN,West Bengal,Sukanta Majumdar,Bharatiya Janta Party,"15,43,162","11,97,849",78.5 %,"33,293",2.8%,53.0,6.0,GEN,West Bengal,Sukanta Majumdar,Bharatiya Janta Party,"15,61,966","12,37,308",79.2 %,"10,386",0.8%
Banaskantha,51.0,14.0,GEN,Gujarat,Chavda Harisinhaji Pratapsinhaji,Indian National Congress,"13,11,847","6,42,570",49.0 %,"6,928",1.1%,55.0,2.0,GEN,Gujarat,Gadhvi Mukeshkumar Bheiravdanji,Indian National Congress,1296871.0,646305.0,49.8 %,10301.0,1.6%,55.0,2.0,GEN,Gujarat,Chaudhary Haribhai Parthibhai,Bharatiya Janta Party,1515711.0,886634.0,58.5 %,202334.0,22.8%,55.0,2.0,GEN,Gujarat,Parbatbhai Savabhai Patel,Bharatiya Janta Party,"15,12,076","11,02,081",73.7 %,"3,68,296",33.4%,54.0,2.0,GEN,Gujarat,Geniben Nagaji Thakor,Indian National Congress,"19,61,924","13,75,903",70.1 %,"30,406",2.2%
Banda,52.0,55.0,GEN,Uttar Pradesh [2000 Onwards],Shyama Charan Gupt,Samajwadi Party,"12,83,915","5,26,286",41.0 %,"56,304",10.7%,56.0,48.0,GEN,Uttar Pradesh [2000 Onwards],R. K. Singh Patel,Samajwadi Party,1386265.0,619203.0,44.7 %,34593.0,5.6%,56.0,48.0,GEN,Uttar Pradesh [2000 Onwards],Bhairon Prasad Mishra,Bharatiya Janta Party,1601917.0,858326.0,53.6 %,115788.0,13.5%,56.0,48.0,GEN,Uttar Pradesh [2000 Onwards],R.K. Singh Patel,Bharatiya Janta Party,"16,59,357","10,34,549",63.5 %,"58,938",5.7%,55.0,48.0,GEN,Uttar Pradesh [2000 Onwards],Krishna Devi Shivshanker Patel,Samajwadi Party,"17,47,425","10,44,132",59.8 %,"71,210",6.8%
Bangaon,,,,,,,,,,,,61.0,14.0,SC,West Bengal,Gobinda Chandra Naskar,All India Trinamool Congress,1246979.0,1078719.0,86.5 %,92826.0,8.6%,61.0,14.0,SC,West Bengal,Kapil Krishna Thakur,All India Trinamool Congress,1540713.0,1283688.0,83.3 %,146601.0,11.4%,61.0,14.0,SC,West Bengal,Shantanu Thakur,Bharatiya Janta Party,"16,18,541","14,07,758",87.4 %,"1,11,594",7.9%,60.0,14.0,SC,West Bengal,Shantanu Thakur,Bharatiya Janta Party,"18,36,374","14,93,108",81.3 %,"73,693",4.9%
Banka,55.0,26.0,GEN,Bihar [2000 Onwards],Giridhari Yadav,Rashtriya Janata Dal,"12,13,614","7,13,888",58.8 %,"4,669",0.7%,62.0,27.0,GEN,Bihar [2000 Onwards],Digvijay Singh,Independent,1338025.0,652097.0,48.7 %,28716.0,4.4%,62.0,27.0,GEN,Bihar [2000 Onwards],Jai Prakash Narayan Yadav,Rashtriya Janata Dal,1549456.0,899353.0,58.0 %,10144.0,1.1%,62.0,27.0,GEN,Bihar [2000 Onwards],Giridhari Yadav,Janata Dal (United),"16,87,940","9,95,806",59.4 %,"2,00,532",20.1%,61.0,27.0,GEN,Bihar [2000 Onwards],Giridhari Yadav,Janata Dal (United),"18,56,566","10,14,155",54.6 %,"1,03,844",10.2%
Bankura,56.0,35.0,GEN,West Bengal,Acharia Basudeb,Communist Party Of India (MARXIST),"10,20,046","6,91,958",67.8 %,"2,30,329",33.3%,63.0,36.0,GEN,West Bengal,Acharia Basudeb,Communist Party Of India (MARXIST),1268563.0,985847.0,77.7 %,107802.0,10.9%,63.0,36.0,GEN,West Bengal,Sreemati Dev Varma (MOON MOON SEN),All India Trinamool Congress,1503812.0,1236319.0,82.2 %,98506.0,8.0%,63.0,36.0,GEN,West Bengal,Dr. Subhas Sarkar,Bharatiya Janta Party,"17,70,248","13,71,855",78.3 %,"1,74,333",12.7%,62.0,36.0,GEN,West Bengal,Arup Chakraborty,All India Trinamool Congress,"17,80,580","14,47,674",81.3 %,"32,778",2.3%
Bansgaon,57.0,33.0,GEN,Uttar Pradesh [2000 Onwards],Mahaveer Prasad,Indian National Congress,"14,41,224","6,32,098",43.9 %,"16,441",2.6%,64.0,67.0,SC,Uttar Pradesh [2000 Onwards],Kamlesh Paswan,Bharatiya Janta Party,1663648.0,649218.0,39.0 %,52787.0,8.1%,64.0,67.0,SC,Uttar Pradesh [2000 Onwards],Kamlesh Paswan,Bharatiya Janta Party,1760110.0,877877.0,49.9 %,189516.0,21.6%,64.0,67.0,SC,Uttar Pradesh [2000 Onwards],Kamlesh Paswan,Bharatiya Janta Party,"17,48,683","9,69,136",56.2 %,"1,53,468",15.8%,63.0,67.0,SC,Uttar Pradesh [2000 Onwards],Kamlesh Paswan,Bharatiya Janta Party,"18,20,854","9,44,763",51.9 %,"3,150",0.3%
Banswara,58.0,16.0,GEN,Rajasthan,Dhan Singh Rawat,Bharatiya Janta Party,"13,73,808","6,65,376",48.4 %,"21,683",3.3%,65.0,20.0,ST,Rajasthan,Tarachand Bhagora,Indian National Congress,1457980.0,769532.0,52.8 %,199418.0,25.9%,65.0,20.0,ST,Rajasthan,Manshankar Ninama,Bharatiya Janta Party,1692502.0,1171188.0,69.2 %,91916.0,7.8%,65.0,20.0,ST,Rajasthan,Kanakmal Katara,Bharatiya Janta Party,"19,20,325","14,39,671",76.5 %,"3,05,464",21.2%,64.0,20.0,ST,Rajasthan,Raj Kumar Roat,Bharat Adivasi Party,"22,00,438","16,36,852",74.4 %,"2,47,054",15.1%
Bapatla,59.0,16.0,GEN,Andhra Pradesh,Daggubati Purandareswari,Indian National Congress,"9,48,929","7,33,677",77.3 %,"94,082",12.8%,66.0,32.0,SC,Andhra Pradesh,Panabaka Lakshmi,Indian National Congress,1321607.0,1046640.0,79.2 %,69338.0,6.6%,66.0,32.0,SC,Andhra Pradesh [2014 Onwards],Malyadri Sriram,Telugu Desam,1392965.0,1184634.0,85.0 %,32754.0,2.8%,66.0,15.0,,Andhra Pradesh [2014 Onwards],Nandigam Suresh,Yuvajana Sramika Rythu Congress Party,"13,61,646","12,66,492",94.0 %,"16,065",1.3%,65.0,15.0,SC,Andhra Pradesh [2014 Onwards],Krishna Prasad Tenneti,Telugu Desam,"15,06,354","13,00,745",86.4 %,"2,08,031",16.0%
Baramati,61.0,43.0,GEN,Maharashtra,Pawar Sharadchandra Govindrao,Nationalist Congress Party,"18,46,635","8,92,726",48.3 %,"4,22,975",47.4%,68.0,35.0,GEN,Maharashtra,Supriya Sule,Nationalist Congress Party,1593460.0,734048.0,46.1 %,336831.0,45.9%,68.0,35.0,GEN,Maharashtra,Supriya Sule,Nationalist Congress Party,1813543.0,1066556.0,58.8 %,69719.0,6.5%,68.0,35.0,GEN,Maharashtra,Supriya Sule,Nationalist Congress Party,"20,25,795","13,04,728",64.8 %,"1,55,774",11.9%,67.0,35.0,GEN,Maharashtra,Supriya Sule,Nationalist Congress Party – Sharadchandra Pawar,"23,72,668","14,12,349",59.5 %,"1,58,333",11.2%
Baramulla,62.0,1.0,GEN,Jammu & Kashmir,Abdul Rashid Shaheen,Jammu & Kashmir National Conference,"9,40,998","3,34,122",35.5 %,"9,895",3.0%,69.0,1.0,GEN,Jammu & Kashmir,Sharief Ud Din Shariq,Jammu & Kashmir National Conference,1054496.0,441234.0,41.8 %,64814.0,14.7%,69.0,1.0,GEN,Jammu & Kashmir,Muzaffar Hussain Baig,Jammu & Kashmir Peoples Democratic Party,1190745.0,465992.0,39.1 %,29219.0,6.3%,69.0,1.0,,Jammu & Kashmir,Mohammad Akbar Lone,Jammu & Kashmir National Conference,"11,90,745","4,55,550",38.9 %,"30,233",6.6%,68.0,1.0,,Jammu & Kashmir,Abdul Rashid Sheikh,Independent,"17,37,865","10,33,900",59.5 %,"2,04,142",19.7%
Barasat,63.0,13.0,SC,West Bengal,Subrata Bose,All India Forward Bloc,"13,88,017","11,48,662",82.8 %,"12,160",1.1%,70.0,17.0,GEN,West Bengal,Kakali Ghosh Dastidar,All India Trinamool Congress,1226654.0,1026860.0,83.7 %,122901.0,12.0%,70.0,17.0,GEN,West Bengal,Dr. Kakali Ghoshdostidar,All India Trinamool Congress,1512792.0,1269331.0,83.9 %,173141.0,13.6%,70.0,17.0,GEN,West Bengal,Dr. Kakoli Ghoshdastidar,All India Trinamool Congress,"18,82,204","13,94,766",75.1 %,"1,09,983",7.9%,69.0,17.0,GEN,West Bengal,Kakoli Ghosh Dastidar,All India Trinamool Congress,"19,05,400","15,32,601",80.4 %,"1,14,189",7.5%
Bardoli,,,,,,,,,,,,72.0,23.0,ST,Gujarat,Chaudhari Tusharbhai Amrasinhbhai,Indian National Congress,1440215.0,832705.0,57.8 %,58985.0,7.1%,72.0,23.0,ST,Gujarat,Vasava Parbhubhai Nagarbhai,Bharatiya Janta Party,1614106.0,1206179.0,74.7 %,123884.0,10.3%,72.0,23.0,ST,Gujarat,Parbhubhai Nagarbhai Vasava,Bharatiya Janta Party,"17,79,851","13,48,038",77.0 %,"2,15,447",16.0%,71.0,23.0,ST,Gujarat,Parbhubhai Nagarbhai Vasava,Bharatiya Janta Party,"20,48,408","13,39,333",65.4 %,"2,30,253",17.2%
Bareilly,64.0,8.0,GEN,Uttar Pradesh [2000 Onwards],Santosh Gangwar,Bharatiya Janta Party,"15,56,024","8,22,839",52.9 %,"59,644",7.2%,73.0,25.0,GEN,Uttar Pradesh [2000 Onwards],Praveen Singh Aron,Indian National Congress,1401423.0,705939.0,50.4 %,9338.0,1.3%,73.0,25.0,GEN,Uttar Pradesh [2000 Onwards],Santosh Kumar Gangwar,Bharatiya Janta Party,1664081.0,1017891.0,61.2 %,240685.0,23.6%,73.0,25.0,GEN,Uttar Pradesh [2000 Onwards],Santosh Kumar Gangwar,Bharatiya Janta Party,"17,60,865","10,68,342",60.9 %,"1,67,282",15.7%,72.0,25.0,GEN,Uttar Pradesh [2000 Onwards],Chhatra Pal Singh Gangwar,Bharatiya Janta Party,"19,24,434","11,19,558",58.2 %,"34,804",3.1%
Bargarh,,,,,,,,,,,,74.0,1.0,GEN,Orissa,Sanjay Bhoi,Indian National Congress,1320274.0,919459.0,69.6 %,98444.0,10.7%,74.0,1.0,GEN,Orissa,Prabhas Kumar Singh,Biju Janata Dal,1430717.0,1123301.0,78.5 %,11178.0,1.0%,74.0,1.0,GEN,Orissa,Suresh Pujari,Bharatiya Janta Party,"15,30,044","12,47,912",82.5 %,"63,939",5.1%,73.0,1.0,GEN,Orissa,Pradeep Purohit,Bharatiya Janta Party,"16,31,974","13,09,864",80.3 %,"2,51,667",19.2%
Barh,65.0,18.0,GEN,Bihar [2000 Onwards],Vijay Krishna,Rashtriya Janata Dal,"12,42,851","8,64,069",69.5 %,"37,688",4.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barmer,66.0,23.0,GEN,Rajasthan,Manvendra Singh,Bharatiya Janta Party,"16,39,188","10,46,857",63.9 %,"2,71,888",26.0%,75.0,17.0,GEN,Rajasthan,Harish Choudhary,Indian National Congress,1441456.0,786516.0,54.6 %,119106.0,15.1%,75.0,17.0,GEN,Rajasthan,Col. Sona Ram,Bharatiya Janta Party,1677582.0,1219119.0,72.7 %,87461.0,7.2%,75.0,17.0,GEN,Rajasthan,Kailash Choudhary,Bharatiya Janta Party,"23,20,339","14,22,271",62.1 %,"3,23,808",22.8%,74.0,17.0,GEN,Rajasthan,Ummeda Ram Beniwal,Indian National Congress,"22,06,237","16,88,051",76.5 %,"1,18,176",7.0%
Baroda,67.0,22.0,GEN,Gujarat,Jayaben Thakkar,Bharatiya Janta Party,"16,56,867","6,51,977",39.4 %,"6,603",1.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barpeta,68.0,6.0,GEN,Assam,A. F. Golam Osmani,Indian National Congress,"10,75,749","7,62,614",70.9 %,"68,125",8.9%,76.0,6.0,GEN,Assam,Ismail Hussain,Indian National Congress,1239607.0,902287.0,72.8 %,30429.0,3.4%,76.0,6.0,GEN,Assam,Siraj Uddin Ajmal,All India United Democratic Front,1430175.0,1205863.0,84.3 %,42341.0,3.5%,76.0,6.0,GEN,Assam,Abdul Khaleque,Indian National Congress,"14,49,560","14,58,549",101.3 %,"1,40,307",9.6%,75.0,3.0,GEN,Assam,Phani Bhusan Choudhury,Asom Gana Parishad,"19,66,847","16,85,943",85.7 %,"2,22,351",13.2%
Barrackpore,69.0,19.0,SC,West Bengal,Tarit Baran Topdar,Communist Party Of India (MARXIST),"9,81,008","7,92,471",80.8 %,"1,65,071",20.8%,77.0,15.0,GEN,West Bengal,Dinesh Trivedi,All India Trinamool Congress,1081237.0,870792.0,80.5 %,56024.0,6.4%,77.0,15.0,GEN,West Bengal,Dinesh Trivedi,All India Trinamool Congress,1287222.0,1051130.0,81.7 %,206773.0,19.7%,77.0,15.0,GEN,West Bengal,Arjun Singh,Bharatiya Janta Party,"15,51,157","11,04,517",72.0 %,"14,857",1.3%,76.0,15.0,GEN,West Bengal,Partha Bhowmick,All India Trinamool Congress,"15,08,728","11,41,860",75.7 %,"64,438",5.6%
Basirhat,70.0,14.0,SC,West Bengal,Ajay Chakraborty,Communist Party Of India,"11,07,129","9,06,003",81.8 %,"1,82,084",20.1%,78.0,18.0,GEN,West Bengal,Sk. Nurul Islam,All India Trinamool Congress,1198579.0,1038520.0,86.7 %,60383.0,5.8%,78.0,18.0,GEN,West Bengal,Idris Ali,All India Trinamool Congress,1490596.0,1273771.0,85.5 %,109659.0,8.6%,78.0,18.0,GEN,West Bengal,Nusrat Jahan Ruhi,All India Trinamool Congress,"18,33,511","14,33,339",78.7 %,"3,50,369",24.4%,77.0,18.0,GEN,West Bengal,Sk Nurul Islam,All India Trinamool Congress,"18,04,261","15,23,401",84.4 %,"3,33,547",21.9%
Bastar,71.0,9.0,GEN,Chhattisgarh,Baliram Kashyap,Bharatiya Janta Party,"10,39,442","4,50,417",43.3 %,"54,373",12.1%,79.0,10.0,ST,Chhattisgarh,Baliram Kashyap,Bharatiya Janta Party,1193116.0,564742.0,47.3 %,100262.0,17.8%,79.0,10.0,ST,Chhattisgarh,Dinesh Kashyap,Bharatiya Janta Party,1298059.0,769913.0,59.3 %,124359.0,16.2%,79.0,10.0,ST,Chhattisgarh,Deepak Baij,Indian National Congress,"13,57,443","9,12,846",70.3 %,"38,982",4.3%,78.0,10.0,ST,Chhattisgarh,Mahesh Kashyap,Bharatiya Janta Party,"14,72,207","10,07,395",68.4 %,"55,245",5.5%
Basti,72.0,30.0,GEN,Uttar Pradesh [2000 Onwards],Lal Mani Prasad,Bahujan Samaj Party,"14,16,526","5,76,389",40.7 %,"25,374",4.4%,80.0,61.0,GEN,Uttar Pradesh [2000 Onwards],Arvind Kumar Chaudhary,Bahujan Samaj Party,1570657.0,773985.0,49.3 %,105210.0,13.6%,80.0,61.0,GEN,Uttar Pradesh [2000 Onwards],Harish Chandra Alias Harish Dwivedi,Bharatiya Janta Party,1847613.0,1048534.0,56.8 %,33562.0,3.2%,80.0,61.0,GEN,Uttar Pradesh [2000 Onwards],Harish Chandra Alias Harish Dwivedi,Bharatiya Janta Party,"18,39,900","10,54,539",57.9 %,"30,354",2.9%,79.0,61.0,GEN,Uttar Pradesh [2000 Onwards],Ram Prasad Chaudhary,Samajwadi Party,"19,02,898","10,82,870",56.9 %,"1,00,994",9.3%
Bayana,73.0,10.0,SC,Rajasthan,Ramswaroop Koli,Bharatiya Janta Party,"11,97,119","4,89,456",40.9 %,"59,624",12.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beed,74.0,34.0,GEN,Maharashtra,Jaisingrao Gaikwad Patil,Nationalist Congress Party,"13,19,891","8,82,532",66.9 %,"47,412",5.4%,82.0,39.0,GEN,Maharashtra,Munde Gopinathrao Pandurang,Bharatiya Janta Party,1637239.0,1074052.0,65.6 %,140952.0,13.1%,81.0,39.0,GEN,Maharashtra,Munde Gopinathrao Pandurang,Bharatiya Janta Party,1792650.0,1232202.0,68.7 %,136454.0,11.1%,82.0,39.0,GEN,Maharashtra,Pritam Gopinathrao Munde,Bharatiya Janta Party,"16,21,102","13,52,399",83.6 %,"1,68,368",12.4%,81.0,39.0,GEN,Maharashtra,Bajrang Manohar Sonwane,Nationalist Congress Party – Sharadchandra Pawar,"21,42,547","15,22,295",71.1 %,"6,553",0.4%
